"X","Y","juos","elev","slp","asp","point.ID","poly.ID","mukey","taxorder","taxsuborde","taxgrtgrou","taxsubgrp","subord","grtgrp","c_order","c_sbord","c_ggrp","phmin","phave","phmax","frag3to10","sieveno4","sieveno10","sieveno40","sieveno200","sand","silt","clay","omr","dryweight","ksat","awc","wsat","minalogy","reaction","ph_ave","frag_3to10","sieve_4","sieve_10","sieve_40","sieve_200","sand_txt","silt_txt","clay_txt","orgmat","dwieght","ksat_txt","awc_txt","wsat_txt","minerals","calcereous"
-109.038975,40.996369,0,NA,NA,NA,1,1059,"676954","Mollisols","Cryolls","Argicryolls","Ustic Argicryolls","Cry","Arg",107,107,103,560,723,900,11,78,74,62,43,52,29,19,136,152,2822,14,39,"mixed",NA,"723","11","78","74","62","43","52","29","19","136","152","2822","14","39","mixed",NA
-109.337151,40.955804,0,2415,3.23123502731323,214.868515014648,2,703,"674453","Aridisols","Calcids","Haplocalcids","Ustic Haplocalcids","Cal","Hap",103,105,120,510,778,900,15,67,62,53,42,44,35,22,157,127,917,10,39,"mixed",NA,"778","15","67","62","53","42","44","35","22","157","127","917","10","39","mixed",NA
-108.980936,40.950329,0,2455,0.959100186824799,107.850318908691,3,1059,"676954","Mollisols","Cryolls","Argicryolls","Ustic Argicryolls","Cry","Arg",107,107,103,560,723,900,11,78,74,62,43,52,29,19,136,152,2822,14,39,"mixed",NA,"723","11","78","74","62","43","52","29","19","136","152","2822","14","39","mixed",NA
-109.456724,40.912707,1,1872,4.77466869354248,28.802677154541,4,1114,"657964",NA,NA,NA,NA,"non","non",100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,NA
-109.397695,40.911838,1,1989,6.02880430221558,180.732635498047,5,703,"674453","Aridisols","Calcids","Haplocalcids","Ustic Haplocalcids","Cal","Hap",103,105,120,510,778,900,15,67,62,53,42,44,35,22,157,127,917,10,39,"mixed",NA,"778","15","67","62","53","42","44","35","22","157","127","917","10","39","mixed",NA
-109.278941,40.910108,1,1737,0.818941473960876,247.796524047852,6,703,"674453","Aridisols","Calcids","Haplocalcids","Ustic Haplocalcids","Cal","Hap",103,105,120,510,778,900,15,67,62,53,42,44,35,22,157,127,917,10,39,"mixed",NA,"778","15","67","62","53","42","44","35","22","157","127","917","10","39","mixed",NA
-108.922978,40.904261,0,2585,3.7312548160553,185.108489990234,7,1059,"676954","Mollisols","Cryolls","Argicryolls","Ustic Argicryolls","Cry","Arg",107,107,103,560,723,900,11,78,74,62,43,52,29,19,136,152,2822,14,39,"mixed",NA,"723","11","78","74","62","43","52","29","19","136","152","2822","14","39","mixed",NA
-109.161608,40.86332,1,1724,2.02783155441284,65.1943359375,8,1061,"674452","Aridisols","Calcids","Haplocalcids","Ustic Haplocalcids","Cal","Hap",103,105,120,740,854,960,7,83,80,63,44,53,28,19,65,131,917,11,34,"mixed","calcareous","854","7","83","80","63","44","53","28","19","65","131","917","11","34","mixed","calcareous"
-108.924376,40.859194,1,1824,7.53544998168945,203.398284912109,9,1060,"659481",NA,NA,NA,NA,"non","non",100,100,100,610,794,900,13,72,65,51,31,59,26,15,91,0,0,0,0,"carbonatic","calcareous","794","13","72","65","51","31","59","26","15","91",NA,NA,NA,"na","carbonatic","calcareous"
-109.577686,40.824117,0,2961,7.28968238830566,11.5709056854248,10,1216,"674445","Inceptisols","Cryepts","Dystrocryepts","Typic Dystrocryepts","Cry","Dys",106,107,111,360,707,900,37,61,56,45,31,56,26,18,308,171,2822,5,11,"mixed",NA,"707","37","61","56","45","31","56","26","18","308","171","2822","5","11","mixed",NA
